game_id,score,blinky_kill,inky_kill,playtime
10837776,1090,0,1,25.42
2525094,1110,0,1,35.8
71718468,70,1,0,1.3
82027272,840,0,1,34.29
88300178,80,1,0,1.41
16068387,400,1,0,9.66
31199058,1070,1,0,18.57
54060212,330,1,0,4.34
9868606,250,1,0,5.35
56611833,970,0,1,38.19
20124749,1260,0,1,28.64
85951007,110,0,1,86.7
29399235,1130,0,1,70.5
21375198,830,0,1,32.54
72733820,400,1,0,13.41
46412491,330,1,0,10.1
68197929,1020,1,0,23.32
52255656,1010,0,1,33.87
52522888,1220,0,0,-1730726163.65
76901698,330,1,0,5.32
28638945,420,1,0,13.94
80711564,90,1,0,2.59
21301041,1430,0,1,37.82
22941577,690,0,0,-1730726744.03
20010376,850,0,0,-1730726789.25
28852933,390,1,0,6.75
14098376,60,1,0,1.17
76129857,1290,1,0,32.56
45634499,0,0,0,-1731137716.51
52288730,600,1,0,8.12
58216997,1550,1,0,35.93
16038503,310,1,0,6.24
54220425,390,1,0,9.87
9945896,160,1,0,1.83
69676375,710,0,1,36.6
71494212,920,0,1,26.36
57220913,270,1,0,5.59
60576051,150,1,0,2.36
44267989,250,1,0,6.21
39090493,320,1,0,8.52
93112834,800,1,0,19.22
