game_id,score,blinky_kill,clyde_kill,inky_kill,playtime
19618006,1550,0,0,1,60.81
53633270,60,1,0,0,1.17
15479479,330,1,0,0,4.29
78416960,1630,0,0,1,72.96
73036142,1240,0,0,0,22.31
85959113,330,1,0,0,4.33
69419935,330,1,0,0,4.27
92920499,1220,1,0,0,26.34
76388233,1060,0,1,0,30.28
48241088,330,1,0,0,4.87
41208485,160,1,0,0,2.11
60659673,1670,0,0,1,67.9
27807865,330,1,0,0,4.62
60888244,330,1,0,0,4.48
8734211,90,1,0,0,2.64
98168831,400,1,0,0,11.08
66114664,400,1,0,0,7.93
87664475,1320,0,0,0,77.7
99278378,1640,0,0,1,68.85
72078823,620,1,0,0,13.83
46248819,770,1,0,0,13.4
86123682,940,0,0,1,64.61
25184912,1290,0,1,0,30.05
44770826,1780,0,0,1,68.33
41742316,350,0,0,1,60.59
23669244,1750,0,0,1,62.98
75326615,340,1,0,0,6.93
23848114,400,1,0,0,14.89
51599158,400,1,0,0,8.44
92858589,80,1,0,0,1.37
91007707,400,1,0,0,8.76
9127834,600,1,0,0,8.09
73465615,90,1,0,0,3.11
60257361,620,1,0,0,19.55
28366380,1150,0,0,0,44.97
65674028,470,0,0,0,9.57
39300446,400,1,0,0,7.2
59587290,400,1,0,0,8.65

13328080,1300,0,0,0,38.04
47467678,260,1,0,0,7.93
21484080,1250,1,0,0,26.98
7350782,250,1,0,0,8.52
64741078,300,1,0,0,8.21
31291424,250,1,0,0,6.21
62991762,90,1,0,0,3.05
14462216,1640,0,0,0,61.73
86969011,2100,0,1,0,69.48
23751358,180,1,0,0,25.46
49361688,1260,0,0,1,69.92
78878953,660,1,0,0,18.94

18877318,130,0,0,1,79.36
18585577,90,1,0,0,41.39

96828404,1520,0,1,0,41.88
27324466,250,1,0,0,5.26
75395206,60,1,0,0,1.1
40965168,1840,0,0,0,47.33
81338524,330,1,0,0,5.29
67887909,330,1,0,0,4.38
52034157,330,1,0,0,4.69

88669426,1140,1,0,0,34.01
67129492,1050,1,0,0,18.76
